MÃ,TÊN CÔNG TY,NGÀNH,NĂM,ROA,ROE,LỢI NHUẬN BIÊN,NỢ / VỐN CHỦ SỞ HỮU,NỢ / TỔNG TÀI SẢN,EBIT/TỔNG TÀI SẢN,CURRENT RATIO,CASH RATIO,EQUITY / TỔNG TÀI SẢN,TỶ LỆ VỐN CHỦ SỞ HỮU,VÒNG QUAY TỔNG TÀI SẢN,VÒNG QUAY PHẢI THU,KHẢ NĂNG THANH TOÁN LÃI VAY,DÒNG TIỀN / DOANH THU,TĂNG TRƯỞNG LNST,TĂNG TRƯỞNG DOANH THU,TĂNG TRƯỞNG TÀI SẢN,cluster_kmeans,Credit_Rating,financial_health
LSS,Mía đường Lam Sơn,Thực phẩm và đồ uống,2021,0.013119807,0.020666762,0.090598399,0.57523372,0.365173569,0.022120416,1.099225941,0.057852826,0.634826431,0.634826431,0.846180129,7.815687875,4.188177364,0.026872807,0.450657399,0.157984481,0.08680649,2,AA,Khá
LSS,Mía đường Lam Sơn,Thực phẩm và đồ uống,2022,0.011852285,0.01823166,0.099749865,0.538240163,0.349906455,0.02502615,1.345785496,0.020070222,0.650093545,0.650093545,0.711088574,5.567355638,2.506525255,-0.019449542,-0.091178648,-0.154595082,0.006013694,2,AA,Khá
LSS,Mía đường Lam Sơn,Thực phẩm và đồ uống,2023,0.029213808,0.046570246,0.112707717,0.59411765,0.372693728,0.047868405,1.330964068,0.136912662,0.627306272,0.627306272,0.811861437,5.451926158,3.656496724,-0.036805138,1.635894798,0.220956513,0.069404439,2,AA,Khá
LSS,Mía đường Lam Sơn,Thực phẩm và đồ uống,2024,0.033028442,0.05842166,0.117192134,0.768828792,0.43465416,0.057823829,1.332191844,0.047606259,0.56534584,0.56534584,0.865496129,10.96836725,3.72698431,-0.036836855,0.291872148,0.218155758,0.142666792,0,A,Trung bình
MAC,Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Hàng & Dịch vụ Công nghiệp,2021,-0.081660233,-0.105210529,0.052430993,0.288393698,0.22383973,-0.071446176,1.915898338,0.326972637,0.77616027,0.77616027,0.49779563,1.951310285,-27.64907859,0.125708743,-14.19372735,-0.225410233,-0.216031257,2,AA,Khá
MAC,Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Hàng & Dịch vụ Công nghiệp,2022,0.053734884,0.060396429,0.147894435,0.12397059,0.110297005,0.067462879,4.0756483,0.650422201,0.889702995,0.889702995,0.490678463,2.620389028,148.4765496,0.198886463,-1.610952437,-0.084817698,-0.071543209,2,AA,Khá
MAC,Cung ứng & DVKT Hàng Hải,Hàng & Dịch vụ Công nghiệp,2023,0.16595773,0.223400105,0.226633188,0.114732329,0.102923658,0.198349219,4.0756483,0.824306677,0.897076342,0.897076342,0.363334406,3.614514107,52.94724083,-0.568026255,3.681535345,-0.070517157,0.255254676,3,AAA,Tốt
MAC,Cung ứng & DVKT Hàng Hải,Hàng & Dịch vụ Công nghiệp,2024,0.140964582,0.1641444,0.086615941,0.164437177,0.141216014,0.175630111,4.0756483,0.824306677,0.858783986,0.858783986,0.401230312,1.952451392,126.4466778,0.640252557,0.040043334,0.63283165,0.478611913,3,AAA,Tốt
MAS,Sân bay Đà Nẵng,Du lịch và Giải trí,2021,-0.083585052,-0.146909135,-0.173701078,1.739930351,0.635027219,-0.072741329,0.483754533,0.198128159,0.364972781,0.364972781,0.59510471,6.394739927,-17.96534776,-0.106755458,0.338022424,-0.536601036,-0.207330312,1,B,Yếu
MAS,Sân bay Đà Nẵng,Du lịch và Giải trí,2022,0.018707621,0.045773041,0.146015158,1.446758983,0.591296075,0.031298475,0.552111655,0.130753077,0.408703925,0.408703925,1.547182466,11.21114,1.978027346,-0.036720308,-1.08547028,1.326211158,-0.105251483,1,B,Yếu
MAS,Sân bay Đà Nẵng,Du lịch và Giải trí,2023,0.051173908,0.119554221,0.172741883,1.336233956,0.571960677,0.061495127,0.852425406,0.211088487,0.428039323,0.428039323,2.036142937,10.490485,3.947996331,0.05019551,1.880037992,0.385590626,0.052854141,0,A,Trung bình
MAS,Sân bay Đà Nẵng,Du lịch và Giải trí,2024,0.101695326,0.212577632,0.180280097,1.090338268,0.521608529,0.10651905,1.112904435,0.542312282,0.478391471,0.478391471,2.467073826,18.97065958,15.86679412,0.110740078,1.002264362,0.220795416,0.007555565,0,A,Trung bình
MBG,Tập đoàn MBG,Xây dựng và Vật liệu,2021,0.090793579,0.100573377,0.114137086,0.107714648,0.09724043,0.11465157,4.0756483,0.824306677,0.90275957,0.90275957,0.977983707,3.366330094,132.1457105,0.132869068,1.854801621,0.231799187,0.152325444,3,AAA,Tốt
MBG,Tập đoàn MBG,Xây dựng và Vật liệu,2022,0.069004139,0.076161205,0.104441727,0.103719386,0.093972605,0.087738154,4.0756483,0.530631206,0.906027395,0.906027395,0.837551698,2.014557549,67.08733061,-0.285652169,0.224414878,0.379712501,0.611048427,2,AA,Khá
MBG,Tập đoàn MBG,Xây dựng và Vật liệu,2023,-0.042837978,-0.044444126,-0.056544194,0.037493549,0.036138585,-0.041006711,4.0756483,0.824306677,0.963861415,0.963861415,0.388461313,0.841460677,-18.90151482,-0.194155345,-1.55829593,-0.582893668,-0.100687495,2,AA,Khá
MBG,Tập đoàn MBG,Xây dựng và Vật liệu,2024,0.02032427,0.021733635,0.137133941,0.06934392,0.064847164,0.024153768,4.0756483,0.824306677,0.935152836,0.935152836,0.225534026,0.70808294,8.82990601,0.121789479,-1.500155439,-0.387955075,0.054190267,2,AA,Khá
MCC,Gạch ngói cao cấp,Xây dựng và Vật liệu,2021,0.023018235,0.030122425,0.203930274,0.308633121,0.235843887,0.029585897,1.236489853,0.244461122,0.764156113,0.764156113,0.440564365,6.428824451,7.863928689,0.222501147,-0.094049313,-0.192696535,0.082628205,2,AA,Khá
MCC,Gạch ngói cao cấp,Xây dựng và Vật liệu,2022,0.040127891,0.049482263,0.194727148,0.233113968,0.18904495,0.046778977,1.490285365,0.218430168,0.81095505,0.81095505,0.600261429,7.311955801,10.06542942,-0.017380362,0.631533504,0.275124978,-0.064116735,2,AA,Khá
MCC,Gạch ngói cao cấp,Xây dựng và Vật liệu,2023,0.001714066,0.002159866,0.233795062,0.260083445,0.206401763,0.001184648,1.198423864,0.105812616,0.793598237,0.793598237,0.194071245,3.846571655,0.231404417,-0.011399709,-0.956265532,-0.668973,0.023864922,2,AA,Khá
MCC,Gạch ngói cao cấp,Xây dựng và Vật liệu,2024,0.018884087,0.022265389,0.378132792,0.179055613,0.151863586,0.039498322,1.139590203,0.33878658,0.848136414,0.848136414,0.273203657,18.97065958,7.212758551,0.221663824,9.158706674,0.298061501,-0.077917136,2,AA,Khá
MCF,Cơ khí và Lương thực Thực phẩm,Thực phẩm và đồ uống,2021,0.047669192,0.089718871,0.106005243,0.882114357,0.468682657,0.064231542,1.704312519,0.048773203,0.531317343,0.531317343,1.938911429,10.53159326,2.699029129,-0.143613641,0.041618878,-0.188770113,0.446611688,0,A,Trung bình
MCF,Cơ khí và Lương thực Thực phẩm,Thực phẩm và đồ uống,2022,0.056398245,0.089022624,0.133580332,0.578464446,0.366472902,0.09234946,2.181309855,0.070297233,0.633527098,0.633527098,2.18503911,11.66394388,3.511487679,0.105890608,0.001833829,-0.045734682,-0.153225257,0,A,Trung bình
MCF,Cơ khí và Lương thực Thực phẩm,Thực phẩm và đồ uống,2023,0.064154085,0.087782338,0.112848785,0.368304743,0.269168652,0.090143641,2.997741959,0.13394313,0.730831348,0.730831348,2.621112959,15.44034365,4.995865542,0.073710983,-0.005700226,0.048540328,-0.125905041,0,A,Trung bình
MCF,Cơ khí và Lương thực Thực phẩm,Thực phẩm và đồ uống,2024,0.049477167,0.081609453,0.086006689,0.649436667,0.393732406,0.03997936,2.23203812,0.04082084,0.606267594,0.606267594,2.460605067,13.39953466,1.327869276,-0.049951188,-0.111318349,0.081737484,0.152300373,0,A,Trung bình
MCM,Giống bò sữa Mộc Châu,Thực phẩm và đồ uống,2024,0.081856168,0.095402713,0.290900773,0.165492049,0.141993289,0.09507709,4.0756483,0.096045036,0.858006711,0.858006711,1.085713782,10.16277098,147.4422806,0.067213588,-0.412632219,-0.069676414,0.03093185,3,AAA,Tốt
MCO,BDC Việt Nam,Xây dựng và Vật liệu,2021,0.000686252,0.001949138,0.041355737,1.840265868,0.647920284,0.002260482,0.988806221,0.042153063,0.352079716,0.352079716,0.484395972,0.950468246,1.65767983,0.003925799,0.252533179,0.138705096,0.03567545,1,B,Yếu
MCO,BDC Việt Nam,Xây dựng và Vật liệu,2022,0.001572474,0.004060336,0.085876207,1.582132035,0.612723135,0.003381785,1.12250536,0.132375765,0.387276865,0.387276865,0.53147928,1.225558439,1.27464781,0.016825633,1.091637531,0.001549081,-0.087177319,1,B,Yếu
MCO,BDC Việt Nam,Xây dựng và Vật liệu,2023,0.002113629,0.005937427,0.033253161,1.809114657,0.644015954,0.002712739,1.105916333,0.098616064,0.355984046,0.355984046,0.5428855,1.138239121,1.371620527,0.068175599,0.471033568,0.117890335,0.094403057,1,B,Yếu
MCO,BDC Việt Nam,Xây dựng và Vật liệu,2024,0.002132948,0.005096326,0.11549976,1.389334116,0.581473351,0.002103715,1.170414243,0.051412245,0.418526649,0.418526649,0.432339368,0.967847943,0.751180358,0.045646796,-0.138430319,-0.320083692,-0.14623388,1,B,Yếu
MCP,In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp,2021,0.06768029,0.101310073,0.146863716,0.496891828,0.331949055,0.096321904,2.207131881,0.221345334,0.668050945,0.668050945,1.292100149,4.285450856,7.891148335,-0.001524309,0.170711274,-0.373517014,-0.105449725,2,AA,Khá
MCP,In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp,2022,0.036219931,0.048611516,0.101537503,0.342120618,0.254910485,0.057181948,2.798553083,0.066352606,0.745089515,0.745089515,1.652474642,5.503296015,4.572122367,0.034034163,-0.500726054,0.193141976,-0.067060464,2,AA,Khá
MCP,In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp,2023,0.054662489,0.070233239,0.122127498,0.284852559,0.221700581,0.076583022,3.361813803,0.157765142,0.778299419,0.778299419,1.544522725,5.499931254,15.29185198,0.070045007,0.546369225,-0.042296865,0.024640246,2,AA,Khá
MCP,In và Bao bì Mỹ Châu,Hàng & Dịch vụ Công nghiệp,2024,0.093126525,0.10748516,0.117269479,0.154184159,0.133587139,0.116684369,4.0756483,0.397363909,0.866412861,0.866412861,1.463183449,3.585821682,151.4160407,0.200534722,0.702665789,-0.053218214,-0.000586026,3,AAA,Tốt
MDC,Than Mông Dương,Tài nguyên Cơ bản,2021,0.02548906,0.116007735,0.088091851,3.551275594,0.780281378,0.059656669,0.509244991,0.007072293,0.219718622,0.219718622,1.949433475,16.15394022,1.892562461,0.1244799,0.077811263,-0.067213148,-0.197296753,1,B,Yếu
MDC,Than Mông Dương,Tài nguyên Cơ bản,2022,0.062018036,0.284816442,0.10897783,3.592477609,0.782252613,0.101853163,0.874507817,0.005250786,0.217747387,0.217747387,1.938341149,4.471747397,4.304445222,0.013201966,1.957369556,0.208546041,0.215462051,1,B,Yếu
MDC,Than Mông Dương,Tài nguyên Cơ bản,2023,0.048205665,0.156693381,0.097541983,2.250517977,0.692356724,0.086889325,0.683233924,0.005016456,0.307643276,0.307643276,2.455402463,8.132861382,3.303666775,0.076864936,-0.409193214,-0.037151679,-0.239909323,0,A,Trung bình
